"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"108","충청북도 청주시 흥덕구 봉명동","1***","다가구","25m미만","723.74","409.70","202506","14","258,000","개인","개인","2025","주현로42번길","-","중개거래","충북 청주시 상당구"
"109","충청북도 청주시 흥덕구 봉명동","1***","다가구","8m미만","362.01","194.70","202506","12","59,700","개인","개인","2017","과상미로17번길","-","중개거래","충북 청주시 흥덕구"
"110","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","414.82","192.50","202506","11","44,000","개인","개인","2000","진재로36번길","-","중개거래","충북 청주시 흥덕구"
"111","충청북도 청주시 흥덕구 봉명동","1***","단독","8m미만","130.20","215.50","202506","11","30,000","개인","개인","1987","과상미로10번길","20250703","중개거래","충북 청주시 흥덕구"
"112","충청북도 청주시 흥덕구 송절동","7**","다가구","12m미만","477.37","265.00","202506","11","114,000","개인","개인","2018","송화로150번길","-","중개거래","충북 청주시 흥덕구"
"113","충청북도 청주시 흥덕구 원평동","5**","단독","8m미만","123.53","597.00","202506","10","51,000","개인","개인","2006","원평로93번길","-","중개거래","충북 청주시 흥덕구"
"114","충청북도 청주시 흥덕구 오송읍 서평리","8*","단독","8m미만","94.38","342.00","202506","09","21,500","개인","개인","1981","동평서평길","-","중개거래","충북 청주시 흥덕구"
"115","충청북도 청주시 흥덕구 송절동","6**","다가구","12m미만","469.26","265.00","202506","09","103,000","개인","개인","2019","송화로116번길","-","중개거래","충북 청주시 흥덕구"
"116","충청북도 청주시 흥덕구 가경동","1***","다가구","12m미만","353.63","221.90","202506","08","54,000","개인","개인","2011","서현서로29번길","20250626","중개거래","충북 청주시 흥덕구"
"117","충청북도 청주시 흥덕구 복대동","2***","다가구","12m미만","369.62","229.50","202506","05","43,000","개인","개인","2002","진재로27번길","-","중개거래","충북 청주시 흥덕구"
"118","충청북도 청주시 흥덕구 봉명동","2***","다가구","12m미만","586.14","318.00","202506","05","128,000","개인","개인","2019","덕암로35번길","-","중개거래","충북 청주시 흥덕구"
"119","충청북도 청주시 흥덕구 봉명동","2**","다가구","12m미만","706.05","444.50","202506","04","271,300","개인","개인","2025","월명로32번길","20250922","중개거래","충북 청주시 상당구"
"120","충청북도 청주시 흥덕구 봉명동","2**","다가구","12m미만","706.05","444.50","202506","04","271,300","개인","개인","2025","월명로32번길","-","중개거래","충북 청주시 상당구"
"121","충청북도 청주시 흥덕구 봉명동","2**","다가구","12m미만","659.87","444.50","202506","04","270,000","개인","개인","2025","월명로32번길","20250814","중개거래","충북 청주시 상당구"
"122","충청북도 청주시 흥덕구 봉명동","2**","다가구","12m미만","659.87","444.50","202506","03","270,000","개인","개인","2025","월명로32번길","20250625","중개거래","충북 청주시 상당구"
"123","충청북도 청주시 흥덕구 비하동","7**","단독","12m미만","480.72","213.60","202506","02","54,500","개인","개인","2002","비하로46번길","-","중개거래","충북 청주시 흥덕구"
"124","충청북도 청주시 흥덕구 봉명동","8**","다가구","8m미만","321.30","217.60","202506","02","27,000","개인","개인","1998","봉명로219번길","-","중개거래","충북 청주시 서원구"
"125","충청북도 청주시 흥덕구 가경동","1***","다가구","8m미만","275.42","199.50","202505","30","27,500","개인","개인","1994","가경로149번길","-","직거래","-"
"126","충청북도 청주시 흥덕구 운천동","1***","단독","25m미만","267.20","266.60","202505","28","36,500","개인","개인","1988","운천로21번길","-","중개거래","충북 청주시 흥덕구"
"127","충청북도 청주시 흥덕구 봉명동","6**","단독","8m미만","142.80","220.60","202505","28","21,900","개인","개인","1985","직지대로667번길","-","중개거래","충북 청주시 흥덕구"
"128","충청북도 청주시 흥덕구 봉명동","5**","단독","8m미만","182.10","219.40","202505","27","28,400","개인","개인","1985","직지대로667번길","-","중개거래","충북 청주시 흥덕구"
