"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 청원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"59","충청북도 청주시 청원구 내덕동","417","0417","0000","형제","58.2600","56.5938","202502","08","7,000","1","개인","개인","1983","공항로58번길 39","-","중개거래","충북 청주시 청원구","25.03.07"
"60","충청북도 청주시 청원구 주중동","186-50","0186","0050","어웰휴빌리지2차","84.9875","154.9375","202502","06","20,300","2","개인","개인","2016","공항로220번길 110","-","중개거래","충북 청주시 청원구","25.03.20"
"61","충청북도 청주시 청원구 주중동","186-8","0186","0008","금원휴빌리지","84.9075","159.9700","202502","04","25,500","4","개인","개인","2017","공항로220번길 111","-","중개거래","충북 청주시 청원구","25.03.25"
"62","충청북도 청주시 청원구 오창읍 장대리","324-31","0324","0031","보탑아트빌","64.2300","45.9200","202502","03","8,400","2","개인","개인","2013","장대길 14","-","중개거래","충북 청주시 청원구","25.02.04"
"63","충청북도 청주시 청원구 내수읍 마산리","182-7","0182","0007","노블카운티","102.4700","186.5625","202502","03","18,300","4","개인","개인","2017","초정약수로 192","-","중개거래","충북 청주시 청원구","25.03.10"
"64","충청북도 청주시 청원구 내덕동","304-19","0304","0019","(304-19)","67.6800","36.3000","202501","24","10,300","3","개인","개인","2017","내덕로 34-1","-","중개거래","충북 청주시 청원구","25.03.17"
"65","충청북도 청주시 청원구 내덕동","499-6","0499","0006","덕일","58.1400","50.0000","202501","21","8,800","3","개인","개인","1984","1순환로197번길 15-1","-","중개거래","충북 청주시 청원구","25.03.24"
"66","충청북도 청주시 청원구 율량동","18-16","0018","0016","율량힐타운201동","84.9000","157.1250","202501","14","18,500","3","개인","개인","2015","1순환로1896번길 19-22","-","직거래","-","25.01.14"
"67","충청북도 청주시 청원구 주성동","90-4","0090","0004","청우휴타운하우스(가,나동)","124.7400","216.7520","202501","14","43,990","1","개인","개인","2018","2순환로160번길 26-32","-","직거래","-","25.01.17"
"68","충청북도 청주시 청원구 내수읍 마산리","182-33","0182","0033","동경드림빌","73.3500","126.0625","202501","11","12,800","3","개인","개인","2012","초정약수로 194-10","-","중개거래","충북 청주시 청원구","25.02.07"
"69","충청북도 청주시 청원구 주성동","90-4","0090","0004","청우휴타운하우스(가,나동)","143.4400","249.2458","202501","02","43,990","1","개인","개인","2018","2순환로160번길 26-32","-","직거래","-","25.01.17"
