시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,가경동,43113-2023-00080,공인중개사,최범영,뜨란채청춘공인중개사사무소,충청북도 청주시 흥덕구 풍년로 56 청주가경뜨란채8단지아파트 상가동 101호 
충청북도 청주시흥덕구,오송읍,43113-2023-00081,공인중개사,박애희,복덩이부동산공인중개사사무소,충청북도 청주시 흥덕구 오송읍 봉산2길 20-9 101호
충청북도 청주시흥덕구,봉명동,43113-2023-00083,공인중개사,강윤주,The공감합동공인중개사사무소,충청북도 청주시 흥덕구 직지대로581번길 20 101호
충청북도 청주시흥덕구,봉명동,43113-2023-00086,공인중개사,오효진,나는공인중개사사무소,충청북도 청주시 흥덕구 덕암로47번길 109 1층
충청북도 청주시흥덕구,송절동,43113-2023-00092,공인중개사,정경희,테크노탑공인중개사사무소,충청북도 청주시 흥덕구 송화로 142 105호
충청북도 청주시흥덕구,복대동,43113-2023-00096,공인중개사,김경수,베테랑공인중개사사무소,충청북도 청주시 흥덕구 내수동로42번길 14 
충청북도 청주시흥덕구,봉명동,43113-2023-00097,공인중개사,배정후,정후공인중개사사무소,충청북도 청주시 흥덕구 직지대로 636 하이젠시티 제1층 111호
충청북도 청주시흥덕구,복대동,43113-2023-00100,공인중개사,정은하,청주지웰프로공인중개사사무소,충청북도 청주시 흥덕구 진재로103번길 37 신영지웰홈스아파트 근린생활시설 상가 C동110호
충청북도 청주시흥덕구,강서동,43113-2023-00101,공인중개사,최윤,청담공인중개사사무소,충청북도 청주시 흥덕구 가로수로1154번길 55-25 
충청북도 청주시흥덕구,오송읍,43113-2023-00102,공인중개사,박은정,오송탄탄공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명7로 164 101호
충청북도 청주시흥덕구,봉명동,43113-2023-00103,공인중개사,김보현,THE리치공인중개사사무소,충청북도 청주시 흥덕구 직지대로 551 리치먼드시티 107호(봉명동)
충청북도 청주시흥덕구,오송읍,43113-2023-00105,공인중개사,이천희,오송역스타플릭스부동산공인중개사사무소,충청북도 청주시 흥덕구 오송읍 봉산2길 23-1 101호
충청북도 청주시흥덕구,오송읍,43113-2023-00106,공인중개사,이윤,오송이가부동산공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송생명14로 367 ,102호"
충청북도 청주시흥덕구,송절동,43113-2023-00107,공인중개사,정기영,코끼리공인중개사사무소,충청북도 청주시 흥덕구 송화로130번길 2 104호
충청북도 청주시흥덕구,운천동,43113-2023-00108,공인중개사,이동해,홍길동공인중개사사무소,충청북도 청주시 흥덕구 흥덕로 169 1층
충청북도 청주시흥덕구,오송읍,43113-2023-00112,공인중개사,정수희,이룸부동산공인중개사사무소,충청북도 청주시 흥덕구 오송읍 연제만수길 15 오송대원칸타빌 제상가동 101호
충청북도 청주시흥덕구,봉명동,43113-2023-00113,공인중개사,김종현,청탑부동산공인중개사사무소,충청북도 청주시 흥덕구 월명로 170 1층  101호
충청북도 청주시흥덕구,가경동,43113-2023-00115,공인중개사,김동복,동원공인중개사사무소,충청북도 청주시 흥덕구 장구봉로26번길 4 
충청북도 청주시흥덕구,오송읍,43113-2023-00116,공인중개사,유순영,미래합동공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명7로 105 파라곤2차 단지내상가 4-106
