"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"108","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202504","25","7,100","5","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"109","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","24.8900","202504","24","7,000","8","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"110","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202504","22","6,800","7","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"111","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202504","22","6,800","7","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"112","충청북도 청주시 흥덕구 강서동","460","0460","0000","이랜드타운힐스 싱글스위트 청주","23.4300","202504","22","6,800","7","개인","개인","2019","2순환로 1228","-","중개거래","충북 청주시 흥덕구"
"113","충청북도 청주시 흥덕구 복대동","288-66","0288","0066","지웰에스테이트 오피스텔","30.3300","202504","16","10,500","10","개인","개인","2016","진재로 131","-","중개거래","충북 청주시 흥덕구"
"114","충청북도 청주시 흥덕구 강서동","459","0459","0000","신해블루지움","22.0800","202504","16","6,300","17","개인","개인","2017","2순환로 1222","-","중개거래","충북 청주시 흥덕구"
"115","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","28.9000","202504","11","8,100","12","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
"116","충청북도 청주시 흥덕구 복대동","328-1","0328","0001","동경오피스텔","37.2750","202504","09","19,000","4","개인","개인","2022","죽천로 97-8","-","직거래","-"
"117","충청북도 청주시 흥덕구 오송읍 연제리","664","0664","0000","두산위브 센티움","27.2000","202504","09","7,150","16","개인","개인","2014","오송생명3로 31","-","중개거래","충북 청주시 흥덕구"
