"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 흥덕구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"91","충청북도 청주시 흥덕구 강내면 학천리","69","0069","0000","금의빌라C동","전세","59.3500","202502","08","7,000","0","3","2018","학천1길 29","202503~202703","신규","-","","","연립다세대"
"92","충청북도 청주시 흥덕구 봉명동","2312","2312","0000","(2312-0)","전세","45.2180","202502","08","10,500","0","4","2018","송절로124번길 50","202502~202702","신규","-","","","연립다세대"
"93","충청북도 청주시 흥덕구 오송읍 동평리","77-6","0077","0006","(77-6)","월세","66.7400","202502","04","2,000","46","3","2014","오송동평길 87","202502~202702","갱신","-","2,000","42","연립다세대"
"94","충청북도 청주시 흥덕구 오송읍 서평리","207-7","0207","0007","오송드림네스트(102동)","월세","60.5400","202501","27","1,000","60","2","2017","서평1길 184","202501~202601","신규","-","","","연립다세대"
"95","충청북도 청주시 흥덕구 봉명동","2312","2312","0000","(2312-0)","전세","45.2180","202501","25","10,000","0","2","2018","송절로124번길 50","202502~202702","신규","-","","","연립다세대"
"96","충청북도 청주시 흥덕구 봉명동","2307","2307","0000","(2307-0)","전세","47.7900","202501","24","9,000","0","2","2015","송절로124번길 28","202502~202702","신규","-","","","연립다세대"
"97","충청북도 청주시 흥덕구 봉명동","1450","1450","0000","주연B동","월세","46.0800","202501","20","300","40","2","1988","과상미로66번길 12","202501~202701","신규","-","","","연립다세대"
"98","충청북도 청주시 흥덕구 봉명동","2317-1","2317","0001","(2317-1)","전세","60.5400","202501","19","15,000","0","2","2014","송절로124번길 29","-","-","-","","","연립다세대"
"99","충청북도 청주시 흥덕구 오송읍 쌍청리","108-22","0108","0022","쌍청리예당마을3동","전세","59.9718","202501","16","8,000","0","3","2017","쌍청2길 6-2","202502~202702","신규","-","","","연립다세대"
"100","충청북도 청주시 흥덕구 복대동","2448","2448","0000","(2448-0)","전세","108.0300","202501","16","16,000","0","4","1992","신율로 77","202502~202702","신규","-","","","연립다세대"
"101","충청북도 청주시 흥덕구 강내면 궁현리","47-7","0047","0007","우리빌","월세","73.5200","202501","09","0","13","3","2022","서부로 523-1","202501~202801","신규","-","","","연립다세대"
"102","충청북도 청주시 흥덕구 신봉동","341","0341","0000","나산아트빌","전세","54.1800","202501","08","6,900","0","2","2013","1순환로549번길 113-16","202503~202703","신규","-","","","연립다세대"
"103","충청북도 청주시 흥덕구 봉명동","2308","2308","0000","(2308-0)","전세","45.6600","202501","07","8,000","0","2","2015","송절로124번길 36","202502~202702","신규","-","","","연립다세대"
"104","충청북도 청주시 흥덕구 오송읍 서평리","207-14","0207","0014","오송드림네스트101동","전세","60.5400","202501","06","10,000","0","3","2017","서평1길 186","-","-","-","","","연립다세대"
"105","충청북도 청주시 흥덕구 신봉동","196-19","0196","0019","크라운시티102동","전세","68.8950","202501","04","9,500","0","5","2016","1순환로436번길 101","202502~202702","신규","-","","","연립다세대"
"106","충청북도 청주시 흥덕구 강내면 궁현리","47-7","0047","0007","우리빌","월세","73.5200","202501","02","3,000","40","3","2022","서부로 523-1","202501~202701","신규","-","","","연립다세대"
