□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 청원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
102,충청북도 청주시 청원구 율량동,1379,1379,0,대창4차아파트,49.5,202510,19,"8,200",-,6,개인,개인,1996,사뜸로52번길 16,-,중개거래,충북 청주시 청원구,-
103,충청북도 청주시 청원구 내덕동,519,519,0,대진,60.6,202510,18,"5,800",-,1,개인,개인,1985,1순환로211번길 10,-,중개거래,충북 청주시 청원구,-
104,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,59.9502,202510,18,"30,300",105동,25,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,25.10.31
105,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9749,202510,18,"40,300",-,5,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
106,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9749,202510,18,"43,800",-,38,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
107,충청북도 청주시 청원구 오창읍 양청리,810-2,810,2,오창롯데캐슬더하이스트,84.9604,202510,18,"41,000",-,33,개인,개인,2018,중부로 760,-,중개거래,충북 청주시 청원구,-
108,충청북도 청주시 청원구 오창읍 각리,637-6,637,6,중앙하이츠빌,102.228,202510,18,"37,000",-,11,개인,개인,2006,오창중앙로 32,-,중개거래,충북 청주시 청원구,-
109,충청북도 청주시 청원구 주성동,335,335,0,대원칸타빌1차아파트,84.43,202510,18,"41,500",-,11,개인,개인,2013,율량로 103,-,중개거래,충북 청주시 청원구,-
110,충청북도 청주시 청원구 오창읍 각리,638-1,638,1,우림필유1차,59.86,202510,18,"21,800",-,18,개인,개인,2006,오창중앙로 13,-,중개거래,충북 청주시 청원구,-
111,충청북도 청주시 청원구 내수읍 마산리,05월 05일,5,5,진흥2차아파트,59.97,202510,18,"5,700",-,4,개인,개인,1992,마산3길 3,-,중개거래,충북 진천군,-
