□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 연립다세대(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 상당구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
80,충청북도 청주시 상당구 금천동,157-28,157,28,신흥빌라,83.07,67.2222,202502,24,"8,750",3,개인,개인,1985,영운로 102,-,중개거래,충북 청주시 상당구,-
81,충청북도 청주시 상당구 남일면 송암리,573,573,0,(573-0),59.94,45.97,202502,19,"11,000",4,개인,법인,2015,효촌송암1길 35,-,직거래,-,25.02.24
82,충청북도 청주시 상당구 남일면 효촌리,201-4,201,4,극동빌라,58.92,57.79,202502,19,"4,500",2,개인,개인,1991,효촌송암1길 7,-,직거래,-,25.02.20
83,충청북도 청주시 상당구 용담동,213-3,213,3,에이스빌라,59.265,31.648,202502,18,"5,900",2,개인,개인,2001,용담로101번길 24-7,-,중개거래,충북 청주시 상당구,25.02.28
84,충청북도 청주시 상당구 문의면 미천리,228-55,228,55,서진,70.175,66.875,202502,18,"8,500",4,개인,개인,2013,문의시내1길 14-36,-,중개거래,충북 청주시 상당구,25.04.01
85,충청북도 청주시 상당구 남일면 효촌리,11월 19일,19,11,재원주택,56.78,37.87,202502,14,"4,500",1,개인,개인,1991,효촌송암1길 33-12,-,직거래,-,25.02.21
86,충청북도 청주시 상당구 영운동,187-11,187,11,현대빌라나동,45.98,34.49,202502,14,"4,000",1,개인,개인,1991,무심동로 118-8,-,중개거래,충북 청주시 상당구,25.04.30
87,충청북도 청주시 상당구 용암동,429-2,429,2,삼진동산빌리지,121.59,208.626,202502,13,"27,800",4,개인,개인,1998,월평로253번길 110,-,중개거래,충북 청주시 상당구,25.02.17
88,충청북도 청주시 상당구 금천동,132-13,132,13,종점가동,66.92,60.25,202502,8,"4,200",3,개인,개인,1988,수영로217번길 7,-,중개거래,충북 청주시 상당구,25.02.10
89,충청북도 청주시 상당구 문의면 미천리,127-1,127,1,봄빌여름빌,72.04,69.3125,202502,4,"16,350",4,개인,개인,2013,대청호반로 830,-,중개거래,충북 청주시 상당구,25.02.19
